,filename,name,hash,phash,cropped_filename,fingerprints,labels,cropped_fingerprints,cropped_labels,cluster
f42f736c4568dd77e5cc264b9e2e9b5311997fdf21c23dacc6f5d6a5424f7346,./data/f42f736c4568dd77e5cc264b9e2e9b5311997fdf21c23dacc6f5d6a5424f7346.jpg,f42f736c4568dd77e5cc264b9e2e9b5311997fdf21c23dacc6f5d6a5424f7346,f42f736c4568dd77e5cc264b9e2e9b5311997fdf21c23dacc6f5d6a5424f7346,eaa911b554e4c893364a86ddb26ce3b5c963,./data/cropped/f42f736c4568dd77e5cc264b9e2e9b5311997fdf21c23dacc6f5d6a5424f7346.jpg,[0.         0.02654282 0.00525527 ... 0.290135   0.0973676  0.00961795],"[['comic_book', 0.37879637], ['web_site', 0.15154651], ['pencil_box', 0.072939016], ['Band_Aid', 0.055504847], ['envelope', 0.031511005]]",[0.         0.02654282 0.00525527 ... 0.290135   0.0973676  0.00961795],"[['comic_book', 0.37879637], ['web_site', 0.15154651], ['pencil_box', 0.072939016], ['Band_Aid', 0.055504847], ['envelope', 0.031511005]]",39
fa9e8295aaaf0525f4ef28ea205a3c8cf9cbe3f0096ad0f73e85965a03b994cd,./data/fa9e8295aaaf0525f4ef28ea205a3c8cf9cbe3f0096ad0f73e85965a03b994cd.jpg,fa9e8295aaaf0525f4ef28ea205a3c8cf9cbe3f0096ad0f73e85965a03b994cd,fa9e8295aaaf0525f4ef28ea205a3c8cf9cbe3f0096ad0f73e85965a03b994cd,87982d5867f3e61a1c5988a13667decf9c21,./data/cropped/fa9e8295aaaf0525f4ef28ea205a3c8cf9cbe3f0096ad0f73e85965a03b994cd.jpg,[0.5668724  0.859196   1.156689   ... 0.16579245 0.16362038 1.7287543 ],"[['web_site', 0.25419018], ['monitor', 0.088297516], ['lakeside', 0.055647645], ['microwave', 0.052520078], ['television', 0.03850244]]",[0.5668724  0.859196   1.156689   ... 0.16579245 0.16362038 1.7287543 ],"[['web_site', 0.25419018], ['monitor', 0.088297516], ['lakeside', 0.055647645], ['microwave', 0.052520078], ['television', 0.03850244]]",16
fcce6be9f85bf0fbedd9b9c0eb1b1e6b6d22554323d6ba3ec47d0165a9aa6515,./data/fcce6be9f85bf0fbedd9b9c0eb1b1e6b6d22554323d6ba3ec47d0165a9aa6515.jpg,fcce6be9f85bf0fbedd9b9c0eb1b1e6b6d22554323d6ba3ec47d0165a9aa6515,fcce6be9f85bf0fbedd9b9c0eb1b1e6b6d22554323d6ba3ec47d0165a9aa6515,efa965e9d9563e869533342c28ef94970861,./data/cropped/fcce6be9f85bf0fbedd9b9c0eb1b1e6b6d22554323d6ba3ec47d0165a9aa6515.jpg,[0.51168555 0.524723   0.00351706 ... 0.3975563  0.3829848  0.31132016],"[['web_site', 0.33198413], ['pajama', 0.10472123], ['jean', 0.057377417], ['Windsor_tie', 0.024156101], ['abaya', 0.021808667]]",[0.51168555 0.524723   0.00351706 ... 0.3975563  0.3829848  0.31132016],"[['web_site', 0.33198413], ['pajama', 0.10472123], ['jean', 0.057377417], ['Windsor_tie', 0.024156101], ['abaya', 0.021808667]]",33
f55244f9c11243f694477fddf639f41c6900767bdea0b3bd0223e9fd36f9937c,./data/f55244f9c11243f694477fddf639f41c6900767bdea0b3bd0223e9fd36f9937c.jpg,f55244f9c11243f694477fddf639f41c6900767bdea0b3bd0223e9fd36f9937c,f55244f9c11243f694477fddf639f41c6900767bdea0b3bd0223e9fd36f9937c,e96694ccd96b963b32b149dc84d6433136b6,./data/cropped/f55244f9c11243f694477fddf639f41c6900767bdea0b3bd0223e9fd36f9937c.jpg,[0.7538009  0.33360595 0.         ... 0.26668864 0.         0.7667712 ],"[['web_site', 0.995924], ['menu', 0.0006818895], ['jean', 0.00027966558], ['lipstick', 0.00026146823], ['hand_blower', 0.00024391145]]",[0.7538009  0.33360595 0.         ... 0.26668864 0.         0.7667712 ],"[['web_site', 0.995924], ['menu', 0.0006818895], ['jean', 0.00027966558], ['lipstick', 0.00026146823], ['hand_blower', 0.00024391145]]",33
f79c0f69f0918a8ac3e9bcfa01358e355eab5f5f6340ade1921fe606408ed919,./data/f79c0f69f0918a8ac3e9bcfa01358e355eab5f5f6340ade1921fe606408ed919.jpg,f79c0f69f0918a8ac3e9bcfa01358e355eab5f5f6340ade1921fe606408ed919,f79c0f69f0918a8ac3e9bcfa01358e355eab5f5f6340ade1921fe606408ed919,d2d992a5eeb4a53b4be1986de6384d6244c9,./data/cropped/f79c0f69f0918a8ac3e9bcfa01358e355eab5f5f6340ade1921fe606408ed919.jpg,[0.41306472 0.02699203 0.01402168 ... 0.14484191 0.01919435 0.2930927 ],"[['sax', 0.13999833], ['revolver', 0.122060515], ['microphone', 0.10639243], ['stage', 0.09469825], ['Indian_cobra', 0.03509732]]",[0.41306472 0.02699203 0.01402168 ... 0.14484191 0.01919435 0.2930927 ],"[['sax', 0.13999833], ['revolver', 0.122060515], ['microphone', 0.10639243], ['stage', 0.09469825], ['Indian_cobra', 0.03509732]]",23
f8448f98c0a9d8caace5d07fe2931e5bcb16eb74abdbdd220d8a4eb936bc341b,./data/f8448f98c0a9d8caace5d07fe2931e5bcb16eb74abdbdd220d8a4eb936bc341b.jpg,f8448f98c0a9d8caace5d07fe2931e5bcb16eb74abdbdd220d8a4eb936bc341b,f8448f98c0a9d8caace5d07fe2931e5bcb16eb74abdbdd220d8a4eb936bc341b,8a85a88ddb3222e970091833fc2eb37b5b3f,./data/cropped/f8448f98c0a9d8caace5d07fe2931e5bcb16eb74abdbdd220d8a4eb936bc341b.jpg,[1.0709784  2.7470694  0.02981321 ... 0.05928709 1.3814703  1.1481146 ],"[['comic_book', 0.56055206], ['web_site', 0.4193355], ['refrigerator', 0.003229585], ['television', 0.0025049767], ['barbershop', 0.0014807764]]",[1.0709784  2.7470694  0.02981321 ... 0.05928709 1.3814703  1.1481146 ],"[['comic_book', 0.56055206], ['web_site', 0.4193355], ['refrigerator', 0.003229585], ['television', 0.0025049767], ['barbershop', 0.0014807764]]",47
f83f957437ffa4f35d54ffb481186e7329e0a4bb080bba6e2df95c3ddc5beb2a,./data/f83f957437ffa4f35d54ffb481186e7329e0a4bb080bba6e2df95c3ddc5beb2a.jpg,f83f957437ffa4f35d54ffb481186e7329e0a4bb080bba6e2df95c3ddc5beb2a,f83f957437ffa4f35d54ffb481186e7329e0a4bb080bba6e2df95c3ddc5beb2a,b66c6969d1f1f05e76d158a95347243c4da2,./data/cropped/f83f957437ffa4f35d54ffb481186e7329e0a4bb080bba6e2df95c3ddc5beb2a.jpg,[0.1360138  0.35294276 0.18321884 ... 1.657677   0.35900244 0.68355095],"[['lab_coat', 0.87015796], ['stethoscope', 0.051637053], ['flute', 0.021985045], ['harmonica', 0.008817351], ['oxygen_mask', 0.0073502106]]",[0.1360138  0.35294276 0.18321884 ... 1.657677   0.35900244 0.68355095],"[['lab_coat', 0.87015796], ['stethoscope', 0.051637053], ['flute', 0.021985045], ['harmonica', 0.008817351], ['oxygen_mask', 0.0073502106]]",18
f6671c0e78777ef269d4cc94d2109984720b4a65e4cee2048fba3f754da26464,./data/f6671c0e78777ef269d4cc94d2109984720b4a65e4cee2048fba3f754da26464.jpg,f6671c0e78777ef269d4cc94d2109984720b4a65e4cee2048fba3f754da26464,f6671c0e78777ef269d4cc94d2109984720b4a65e4cee2048fba3f754da26464,bcf96ccbcea30e661b1f8105a6be18cf2087,./data/cropped/f6671c0e78777ef269d4cc94d2109984720b4a65e4cee2048fba3f754da26464.jpg,[0.40962946 0.69738215 0.00588442 ... 0.54401034 0.         0.66758364],"[['web_site', 0.6463098], ['Windsor_tie', 0.10420611], ['suit', 0.031560622], ['jean', 0.028904043], ['cellular_telephone', 0.011818238]]",[0.40962946 0.69738215 0.00588442 ... 0.54401034 0.         0.66758364],"[['web_site', 0.6463098], ['Windsor_tie', 0.10420611], ['suit', 0.031560622], ['jean', 0.028904043], ['cellular_telephone', 0.011818238]]",33
f665c40b44bb3ceb0d5ea8cca7cdf3bc87b1a94b0809c6be0e6f72300583f6c3,./data/f665c40b44bb3ceb0d5ea8cca7cdf3bc87b1a94b0809c6be0e6f72300583f6c3.png,f665c40b44bb3ceb0d5ea8cca7cdf3bc87b1a94b0809c6be0e6f72300583f6c3,f665c40b44bb3ceb0d5ea8cca7cdf3bc87b1a94b0809c6be0e6f72300583f6c3,d54aaba713ca369c8767158e6344392719de,./data/cropped/f665c40b44bb3ceb0d5ea8cca7cdf3bc87b1a94b0809c6be0e6f72300583f6c3.jpg,"[1.4616179e-01 9.0918714e-01 8.3394925e-04 ... 1.1875378e+00 5.5131257e-01
 3.2472938e-01]","[['comic_book', 0.36901763], ['envelope', 0.16808043], ['shower_curtain', 0.07167008], ['pencil_sharpener', 0.06050907], ['book_jacket', 0.02968228]]","[1.4616179e-01 9.0918714e-01 8.3394925e-04 ... 1.1875378e+00 5.5131257e-01
 3.2472938e-01]","[['comic_book', 0.36901763], ['envelope', 0.16808043], ['shower_curtain', 0.07167008], ['pencil_sharpener', 0.06050907], ['book_jacket', 0.02968228]]",43
fd86a5d06abb174452ff0c978b356c481e158177ac7355994bec8f19137a1c8b,./data/fd86a5d06abb174452ff0c978b356c481e158177ac7355994bec8f19137a1c8b.jpg,fd86a5d06abb174452ff0c978b356c481e158177ac7355994bec8f19137a1c8b,fd86a5d06abb174452ff0c978b356c481e158177ac7355994bec8f19137a1c8b,d007aa7aac00c146be8158551ff97f8552ff,./data/cropped/fd86a5d06abb174452ff0c978b356c481e158177ac7355994bec8f19137a1c8b.jpg,[0.02060763 0.64220154 0.02849676 ... 0.         0.32355145 0.24163663],"[['web_site', 0.9939213], ['Polaroid_camera', 0.003029774], ['stopwatch', 0.00037945295], ['digital_clock', 0.00023616919], ['envelope', 0.00019040247]]",[0.02060763 0.64220154 0.02849676 ... 0.         0.32355145 0.24163663],"[['web_site', 0.9939213], ['Polaroid_camera', 0.003029774], ['stopwatch', 0.00037945295], ['digital_clock', 0.00023616919], ['envelope', 0.00019040247]]",29
